Id;MemberFirstName;MemberLastName;MemberPhoneNumber;MemberEmail;MemberAddress;Active
"41;Garfield;Purdy;(+09)14224711;Garfield_Purdy@yahoo.com;3670 DuBuque Greens, New Providenciside, Gambia;TRUE"
"42;Ezekiel;Brakus;(+96)92200041;Ezekiel42@yahoo.com;30955 Hartmann Parkway, South Annabelleborough, Jordan;TRUE"
"43;Santiago;Simonis;(+90)27139724;Santiago_Simonis@yahoo.com;73905 Kuhic Centers, Borerfort, Israel;FALSE"
"44;Santina;Fritsch;(+05)27261497;Santina66@gmail.com;8965 Blaise Springs, Tristonfurt, Guatemala;TRUE"
"45;Joel;Berge;(+70)88351065;Joel_Berge@gmail.com;928 Schmitt Extensions, Port Granvillefurt, Antarctica (the territory South of 60 deg S);TRUE"
"46;Austen;Cummings;(+20)06476656;Austen21@gmail.com;62068 Rohan Walk, Domenicmouth, Slovenia;FALSE"
"47;Anne;Schumm;(+26)48990483;Anne34@hotmail.com;469 Kory Land, Antoinetteland, Western Sahara;TRUE"
"48;Althea;Bashirian;(+79)32452118;Althea.Bashirian@yahoo.com;974 Schultz Island, Neldastad, Burundi;TRUE"
"49;Daija;Kulas;(+46)97164065;Daija_Kulas86@gmail.com;32994 Kris Shoals, East Name, Austria;FALSE"
"50;Kaia;Ebert;(+93)47546129;Kaia83@yahoo.com;8940 Delbert Camp, Lake Tyra, Guatemala;FALSE"
"51;Tyrique;Hudson;(+15)57020866;Tyrique68@gmail.com;065 Macejkovic Rapid, Kuvalisville, Yemen;FALSE"
"52;Amely;Cummings;(+54)85811891;Amely40@yahoo.com;039 Arjun Avenue, Lake General, Seychelles;TRUE"
"53;Seth;Wintheiser;(+55)21323190;Seth.Wintheiser@hotmail.com;3912 Retta Forks, Norvalmouth, Canada;FALSE"
"54;Donato;Torp;(+15)17652282;Donato.Torp75@gmail.com;36905 Trevor Shores, South Stuartton, Niue;TRUE"
"55;Alec;Schiller;(+08)11393735;Alec99@gmail.com;0961 Armstrong Track, Antoninachester, Lesotho;FALSE"
"56;Millie;Runolfsdottir;(+23)01848096;Millie.Runolfsdottir52@hotmail.com;3846 Faustino Ferry, Port Vivaland, Moldova;TRUE"
"57;Sheila;Keeling;(+93)54786651;Sheila_Keeling@gmail.com;16134 Geovanni Skyway, Kleinside, Falkland Islands (Malvinas);TRUE"
"58;Mckayla;Brakus;(+50)73002572;Mckayla_Brakus18@hotmail.com;3345 Jeanie Rapid, New Lisandroshire, Yemen;FALSE"
"59;Dewitt;Ryan;(+60)56365221;Dewitt_Ryan39@hotmail.com;7458 Zoila Road, Gloverland, Ecuador;TRUE"
"60;Devin;Emmerich;(+65)68605787;Devin_Emmerich2@hotmail.com;703 Kayla Meadow, South Stephonbury, Saint Barthelemy;FALSE"
"61;Itzel;Kessler;(+26)59536767;Itzel28@hotmail.com;11656 Huels Oval, East Gregg, Equatorial Guinea;FALSE"
"62;Myron;Gleason;(+15)13295170;Myron52@hotmail.com;5294 Pouros Flat, Blockberg, Cote d'Ivoire;TRUE"
"63;Justen;O'Conner;(+49)42444300;Justen.OConner@hotmail.com;500 Dexter View, Xavierchester, Andorra;FALSE"
"64;Cecilia;Wilderman;(+55)65741025;Cecilia_Wilderman@yahoo.com;3951 Gorczany Corner, Baileyport, Jersey;TRUE"
"65;Adaline;Adams;(+99)51393528;Adaline_Adams@gmail.com;074 Nienow Dam, Jayneborough, Finland;TRUE"
"66;Kayden;Schmidt;(+75)35561607;Kayden.Schmidt@gmail.com;6673 Travon Union, Stammville, Tonga;FALSE"
"67;Melvin;Collins;(+96)63702225;Melvin.Collins49@yahoo.com;135 Okuneva Wells, West Dellville, El Salvador;TRUE"
"68;Ciara;Wunsch;(+02)37600798;Ciara_Wunsch@gmail.com;430 Eliseo Ville, Port Ardella, Denmark;FALSE"
"69;Keagan;Kovacek;(+79)84467659;Keagan_Kovacek@gmail.com;535 Dillon Parks, North Kassandra, Netherlands;TRUE"
"70;Isabel;Glover;(+83)20763177;Isabel43@hotmail.com;2108 White Orchard, Lake Misty, Tunisia;TRUE"
"71;Willa;Marvin;(+47)50353241;Willa_Marvin52@hotmail.com;12846 Antonietta Views, Willton, Paraguay;FALSE"
"72;Mason;Stracke;(+88)20820966;Mason40@hotmail.com;135 Rau Point, Ressiebury, Slovenia;FALSE"
"73;Brian;Wuckert;(+03)98586779;Brian.Wuckert@hotmail.com;92134 Audreanne Hills, East Yesseniaberg, Vietnam;TRUE"
"74;Lester;Huels;(+06)78055346;Lester_Huels94@gmail.com;9457 Kyle Pine, Millerchester, Virgin Islands, U.S.;TRUE"
"75;Hailey;Wiza;(+79)21879559;Hailey67@hotmail.com;100 Nelda Prairie, Noeliaberg, Tonga;TRUE"
"76;Elliot;Cruickshank;(+27)93095262;Elliot_Cruickshank57@gmail.com;160 Muller Crescent, Lake Alethamouth, Bulgaria;FALSE"
"77;Tristian;Trantow;(+32)93381794;Tristian_Trantow81@gmail.com;3050 Lockman Isle, Durganburgh, Serbia;FALSE"
"78;Darryl;Crooks;(+79)46953538;Darryl86@hotmail.com;22222 Reinger Neck, Johnsfort, Nicaragua;FALSE"
"79;Marjorie;Glover;(+46)08748641;Marjorie13@yahoo.com;09519 Madie Keys, Casimermouth, Ireland;FALSE"
"80;Elza;Powlowski;(+73)59548550;Elza.Powlowski96@yahoo.com;1687 Schimmel Fall, West Mireya, Eritrea;FALSE"
"81;Charlie;Hahn;(+02)64879182;Charlie59@yahoo.com;58978 Balistreri Rapid, West Horace, Saint Helena;FALSE"
"82;Thora;Beahan;(+48)44882698;Thora_Beahan73@yahoo.com;74483 Dario Roads, Belleburgh, Angola;FALSE"
"83;Chance;Thompson;(+32)05722908;Chance_Thompson@yahoo.com;58588 Maritza Isle, North Mariettafurt, Belgium;FALSE"
"84;Ibrahim;Little;(+54)98641435;Ibrahim.Little94@hotmail.com;51536 Berge Crossroad, Margotmouth, Mayotte;FALSE"
"85;Dusty;Reichert;(+01)10953338;Dusty.Reichert@yahoo.com;2126 Gerlach Highway, Thomasland, Malawi;FALSE"
"86;Lyda;Keebler;(+09)49762790;Lyda_Keebler@hotmail.com;3516 Fahey Courts, East Eudora, Brunei Darussalam;TRUE"
"87;Kirsten;Wilderman;(+25)02611771;Kirsten.Wilderman@yahoo.com;523 Arch Spur, Isacton, Isle of Man;TRUE"
"88;Alvina;Ziemann;(+17)87829732;Alvina66@yahoo.com;3865 Jaylen River, Lake Marilouchester, Kuwait;FALSE"
"89;Guido;Wilkinson;(+20)94052283;Guido.Wilkinson@hotmail.com;198 Keeling Grove, Lake Jamey, Brazil;TRUE"
"90;Billie;Greenfelder;(+02)99492330;Billie.Greenfelder13@yahoo.com;971 Stamm Landing, Luettgenville, South Africa;TRUE"
"91;Bernita;Hudson;(+24)21441885;Bernita_Hudson82@hotmail.com;400 Amber Place, South Shayna, Yemen;TRUE"
"92;Isaias;Rohan;(+44)61257992;Isaias_Rohan@yahoo.com;288 Joshuah Center, Antoniaville, Ireland;TRUE"
"93;Aimee;Brakus;(+96)28187221;Aimee28@yahoo.com;173 Pierre Roads, Justinabury, Morocco;TRUE"
"94;Dustin;Jones;(+92)96290382;Dustin_Jones@hotmail.com;436 Metz Mount, Schuppechester, Belarus;FALSE"
"95;Lemuel;Halvorson;(+75)32185049;Lemuel_Halvorson@gmail.com;7895 Dejah Mountains, Mohrtown, Greenland;TRUE"
"96;Nicholaus;Ankunding;(+49)94314807;Nicholaus36@hotmail.com;97111 Kuvalis Ford, West Rosellafurt, Turks and Caicos Islands;FALSE"
"97;Laurianne;Ryan;(+59)70064039;Laurianne0@yahoo.com;28042 Satterfield Mountains, Port Javiermouth, Guyana;FALSE"
"98;Dion;Nicolas;(+43)60703348;Dion45@hotmail.com;71695 Walsh Vista, East Calistaside, Burkina Faso;FALSE"
"99;Kaylie;Shanahan;(+22)70299635;Kaylie13@yahoo.com;224 Schmidt Plains, Lake Kathleen, Singapore;TRUE"
"100;Dashawn;Prosacco;(+90)36638283;Dashawn23@gmail.com;1496 Koch Stravenue, East Rosina, French Southern Territories;TRUE"
